Data_ID,Year,Month,Utility_Number,Name,State,Ownership,Status,RES_Rev,RES_Sal,RES_Cus,COM_Rev,COM_Sal,COM_Cus,IND_Rev,IND_Sal,IND_Cus,TRAN_Rev,TRAN_Sal,TRAN_Cus,TOT_Rev,TOT_Sal,TOT_Cus
27,2018,1,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,Final,"11,968.921","131,191.876","80,978","2,349.358","29,372.308","5,602","1,452.111","25,353.579",42,0.000,0.000,0,"15,770","185,918","86,622"
28,2018,1,5860,Empire District Electric Co,AR,Investor Owned,Final,553.412,"4,707.495","3,816",275.386,"3,019.714",780,464.455,"6,773.931",9,0.000,0.000,0,"1,293","14,501","4,605"
29,2018,1,6342,First Electric Coop Corp,AR,Cooperative,Final,"14,569.126","166,773.726","86,485","1,611.700","18,055.719","5,848","1,803.219","33,770.113",978,0.000,0.000,0,"17,984","218,600","93,311"
30,2018,1,12681,Mississippi County Electric Co,AR,Cooperative,Final,488.662,"8,794.059","3,296",122.737,"2,091.098",722,"15,264.681","277,060.223",788,0.000,0.000,0,"15,876","287,945","4,806"
31,2018,1,13718,City of North Little Rock - (AR),AR,Municipal,Final,"3,121.000","30,150.000","33,433","2,110.000","20,283.000","4,963","1,542.000","18,777.000",131,3.000,25.000,1,"6,776","69,235","38,528"
32,2018,1,14063,Oklahoma Gas & Electric Co,AR,Investor Owned,Final,"6,061.982","88,972.474","55,757","4,860.750","67,920.300","10,837","4,053.527","78,194.457",375,0.000,0.000,0,"14,976","235,087","66,969"
33,2018,1,17698,Southwestern Electric Power Co,AR,Investor Owned,Final,"11,931.000","131,043.000","100,878","8,154.000","101,184.000","18,077","6,148.000","91,346.000",597,0.000,0.000,0,"26,233","323,573","119,552"
34,2018,1,88888,Total EPM,AR,,Final,"198,861.732","2,120,161.107","1,384,303","83,231.444","973,143.861","195,858","86,442.802","1,392,411.454","35,638",4.170,36.068,2,"368,540","4,485,752","1,615,801"
35,2018,1,0,Adjustment 2018,AZ,,Final,"14,692.579","114,627.568","115,844","12,758.905","126,691.385","24,873","6,979.524","116,379.440","3,362",-0.035,0.098,0,"34,431","357,698","144,079"
36,2018,1,176,Ajo Improvement Co,AZ,Investor Owned,Final,32.990,289.000,784,18.090,167.000,204,0.000,0.000,0,0.000,0.000,0,51,456,988
37,2018,1,803,Arizona Public Service Co,AZ,Investor Owned,Final,"114,610.000","856,364.000","1,097,010","101,314.000","907,787.000","130,365","12,443.000","162,223.000","3,869",0.000,0.000,0,"228,367","1,926,374","1,231,244"
38,2018,1,12919,Morenci Water and Electric,AZ,Investor Owned,Final,142.150,"1,696.200","2,268",118.270,"1,514.800",388,"9,216.170","222,023.400",2,0.000,0.000,0,"9,477","225,234","2,658"
39,2018,1,13314,Navajo Tribal Utility Authority,AZ,State,Final,"1,647.000","15,282.000","25,891","1,980.000","16,684.000","3,349","1,234.000","11,009.000",3,0.000,0.000,0,"4,861","42,975","29,243"
40,2018,1,16572,Salt River Project,AZ,Political Subdivision,Final,"80,445.000","772,289.000","944,724","67,569.490","833,721.020","102,203","18,162.000","360,417.000",49,33.000,391.000,1,"166,209","1,966,818","1,046,977"
41,2018,1,19189,Trico Electric Cooperative Inc,AZ,Cooperative,Final,"4,567.380","30,825.100","44,340","1,893.830","13,921.520","2,102",308.240,"3,664.830",29,0.000,0.000,0,"6,769","48,411","46,471"
42,2018,1,19728,"UNS Electric, Inc",AZ,Investor Owned,Final,"6,595.117","64,238.712","85,168","4,417.655","42,717.577","11,555",821.949,"11,371.616",7,0.000,0.000,0,"11,835","118,328","96,730"
43,2018,1,21538,"Mohave Electric Cooperative, I",AZ,Cooperative,Final,"2,779.400","24,069.300","36,732","1,432.100","14,440.900","4,150",467.300,"6,673.700",21,0.000,0.000,0,"4,679","45,184","40,903"
44,2018,1,24211,Tucson Electric Power Co,AZ,Investor Owned,Final,"31,215.875","240,972.618","382,932","17,605.249","140,735.704","40,439","18,414.781","246,123.835",512,14.978,127.375,1,"67,251","627,960","423,884"
45,2018,1,25866,Ak-Chin Electric Utility Authority,AZ,State,Final,20.158,235.000,308,154.477,"1,975.000",125,4.655,143.000,28,0.000,0.000,0,179,"2,353",461
46,2018,1,27000,WAPA-- Western Area Power Administration,AZ,Federal,Final,0.000,0.000,0,480.434,"21,676.505",12,245.693,"15,416.083",6,0.000,0.000,0,726,"37,093",18
47,2018,1,57313,SolarCity Corporation,AZ,Behind the Meter,Final,"4,218.802","29,138.852","39,202",484.730,"5,438.090",814,0.000,0.000,0,0.000,0.000,0,"4,704","34,577","40,016"
48,2018,1,59086,"Constellation Solar Holding, LLC",AZ,Behind the Meter,Final,0.000,0.000,0,422.850,"4,028.540",9,0.000,0.000,0,0.000,0.000,0,423,"4,029",9
49,2018,1,59139,SunEdison LLC,AZ,Behind the Meter,Final,0.000,0.000,0,31.890,443.060,15,0.000,0.000,0,0.000,0.000,0,32,443,15
50,2018,1,59579,Sunnova,AZ,Behind the Meter,Final,216.047,960.728,"1,410",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,216,961,"1,410"
51,2018,1,59580,"SunPower Capital, LLC",AZ,Behind the Meter,Final,844.045,"7,662.260","7,160",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,844,"7,662","7,160"
52,2018,1,59624,"Vivint Solar, Inc.",AZ,Behind the Meter,Final,362.749,"2,740.638","3,196",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,363,"2,741","3,196"
53,2018,1,59647,Sunrun Inc.,AZ,Behind the Meter,Final,"1,799.471","8,928.933","12,199",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"1,799","8,929","12,199"
54,2018,1,59738,"SunPower Capital Services, LLC",AZ,Behind the Meter,Final,129.790,"1,010.460","1,132",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,130,"1,010","1,132"
55,2018,1,59943,Spruce Finance,AZ,Behind the Meter,Final,112.725,441.470,976,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,113,441,976
56,2018,1,60025,Greenbacker Renewable Energy Corporation,AZ,Behind the Meter,Final,48.456,467.056,489,7.085,116.149,4,0.000,0.000,0,0.000,0.000,0,56,583,493
57,2018,1,60981,"TerraForm US Energy Services, LLC",AZ,Behind the Meter,Final,0.000,0.000,0,109.379,"1,034.740",28,0.000,0.000,0,0.000,0.000,0,109,"1,035",28
58,2018,1,61098,Longroad Energy,AZ,Behind the Meter,Final,0.000,0.000,0,11.050,100.190,1,0.000,0.000,0,0.000,0.000,0,11,100,1
59,2018,1,61823,"Greenskies Renewable Energy, LLC",AZ,,Final,0.000,0.000,0,27.500,287.700,1,0.000,0.000,0,0.000,0.000,0,28,288,1
60,2018,1,88888,Total EPM,AZ,,Final,"264,479.734","2,172,238.895","2,801,765","210,836.984","2,133,480.880","320,637","68,297.312","1,155,444.904","7,888",47.943,518.473,2,"543,662","5,461,683","3,130,292"
61,2018,1,0,Adjustment 2018,CA,,Final,"178,886.755","934,603.296","1,490,749","302,492.750","2,243,900.169","281,485","144,396.726","1,451,038.652","4,444","1,719.972","33,767.149",1,"627,496","4,663,309","1,776,679"
62,2018,1,4390,City of Corona - (CA),CA,Municipal,Final,58.272,399.517,992,422.983,"3,351.178",494,276.364,"2,784.143",9,0.000,0.000,0,758,"6,535","1,495"
63,2018,1,9216,Imperial Irrigation District,CA,Political Subdivision,Final,"12,108.000","92,141.000","132,875","13,980.000","116,569.000","21,012",968.000,"4,671.000",870,0.000,0.000,0,"27,056","213,381","154,757"
64,2018,1,11208,Los Angeles Department of Water & Power,CA,Municipal,Final,"108,239.159","641,265.983","1,333,823","153,685.171","985,920.286","87,778","18,550.279","123,409.890","9,150","1,184.609","8,434.666",2,"281,659","1,759,031","1,430,753"
65,2018,1,12745,Modesto Irrigation District,CA,Political Subdivision,Final,"11,895.512","71,616.518","98,069","8,027.411","59,841.907","29,244","5,125.836","54,095.660",151,0.000,0.000,0,"25,049","185,554","127,464"
66,2018,1,14328,Pacific Gas & Electric Co.,CA,Investor Owned,Final,"417,711.000","2,002,446.000","3,813,889","303,424.000","1,727,339.000","460,918","118,659.000","889,880.000","96,264",0.000,0.000,0,"839,794","4,619,665","4,371,071"
67,2018,1,14354,PacifiCorp,CA,Investor Owned,Final,"6,292.441","39,953.272","35,793","3,294.845","21,831.076","7,460",329.589,"2,860.362","1,930",0.000,0.000,0,"9,917","64,645","45,183"
68,2018,1,14534,City of Pasadena - (CA),CA,Municipal,Final,"4,835.081","25,714.768","55,873","9,276.352","53,880.030","8,486",0.000,0.000,0,109.014,752.871,1,"14,220","80,348","64,360"
69,2018,1,16534,Sacramento Municipal Util Dist,CA,Political Subdivision,Final,"54,951.745","422,133.241","555,071","34,632.984","271,640.170","67,653","13,777.219","144,560.405","2,586",286.821,"2,725.063",1,"103,649","841,059","625,311"
70,2018,1,16609,San Diego Gas & Electric Co,CA,Investor Owned,Final,"138,977.654","568,359.158","1,287,352","110,988.212","521,496.632","154,090","31,182.774","180,290.842",445,798.069,"4,940.000",4,"281,947","1,275,087","1,441,891"
71,2018,1,16612,City & County of San Francisco,CA,Municipal,Final,12.980,68.670,285,"8,289.410","74,540.750","3,176",27.630,629.240,1,659.800,"8,510.360",1,"8,990","83,749","3,463"
72,2018,1,16655,City of Santa Clara - (CA),CA,Municipal,Final,"2,803.868","22,902.663","46,857","1,271.296","7,555.031","6,135","33,331.237","295,680.537","1,679",13.042,72.750,1,"37,419","326,211","54,672"
73,2018,1,17609,Southern California Edison Co,CA,Investor Owned,Final,"425,827.000","2,341,629.000","4,362,915","375,535.000","3,001,607.000","585,478","46,442.000","467,293.000","30,716",0.000,0.000,0,"847,804","5,810,529","4,979,109"
74,2018,1,17612,Bear Valley Electric Service,CA,Investor Owned,Final,"2,424.090","8,217.088","22,741",813.834,"3,081.039","1,503",503.432,"2,103.200",7,0.000,0.000,0,"3,741","13,401","24,251"
75,2018,1,18260,Surprise Valley Electrification,CA,Cooperative,Final,351.829,"4,134.027","2,825",89.407,986.357,914,32.282,333.186,976,0.000,0.000,0,474,"5,454","4,715"
76,2018,1,19281,Turlock Irrigation District,CA,Political Subdivision,Final,"9,142.000","60,036.000","77,535","4,828.000","40,475.000","20,298","5,608.000","50,175.000","4,494",0.000,0.000,0,"19,578","150,686","102,327"
77,2018,1,19840,"Valley Electric Assn, Inc",CA,Cooperative,Final,1.260,9.700,12,0.090,0.248,2,0.850,9.435,30,0.000,0.000,0,2,19,44
78,2018,1,27000,WAPA-- Western Area Power Administration,CA,Federal,Final,0.000,0.000,0,"3,172.706","100,869.090",33,"2,349.836","117,929.546",46,16.391,515.000,1,"5,539","219,314",80
79,2018,1,57313,SolarCity Corporation,CA,Behind the Meter,Final,"10,814.710","51,270.950","136,410","1,718.410","13,369.130","3,350",0.000,0.000,0,0.000,0.000,0,"12,533","64,640","139,760"
80,2018,1,59086,"Constellation Solar Holding, LLC",CA,Behind the Meter,Final,0.000,0.000,0,521.140,"3,333.250",21,4.350,43.430,2,0.000,0.000,0,525,"3,377",23
81,2018,1,59139,SunEdison LLC,CA,Behind the Meter,Final,0.000,0.000,0,23.070,145.090,6,0.000,0.000,0,0.000,0.000,0,23,145,6
82,2018,1,59557,RGS Energy,CA,Behind the Meter,Final,6.750,20.381,42,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,7,20,42
83,2018,1,59579,Sunnova,CA,Behind the Meter,Final,"1,503.843","5,067.909","12,850",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"1,504","5,068","12,850"
84,2018,1,59580,"SunPower Capital, LLC",CA,Behind the Meter,Final,"4,695.848","18,885.570","30,415",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"4,696","18,886","30,415"
85,2018,1,59622,"Ahana Renewables, LLC",CA,Behind the Meter,Final,0.000,0.000,0,134.550,591.790,25,0.000,0.000,0,0.000,0.000,0,135,592,25
86,2018,1,59624,"Vivint Solar, Inc.",CA,Behind the Meter,Final,"2,381.183","14,673.301","44,439",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"2,381","14,673","44,439"
87,2018,1,59647,Sunrun Inc.,CA,Behind the Meter,Final,"10,011.106","25,180.080","57,455",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"10,011","25,180","57,455"
88,2018,1,59738,"SunPower Capital Services, LLC",CA,Behind the Meter,Final,575.260,"1,631.490","3,457",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,575,"1,631","3,457"
89,2018,1,59943,Spruce Finance,CA,Behind the Meter,Final,"1,249.892","6,907.904","14,215",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"1,250","6,908","14,215"
90,2018,1,60025,Greenbacker Renewable Energy Corporation,CA,Behind the Meter,Final,94.185,598.098,"1,274",11.544,90.916,9,0.000,0.000,0,0.000,0.000,0,106,689,"1,283"
91,2018,1,60981,"TerraForm US Energy Services, LLC",CA,Behind the Meter,Final,0.000,0.000,0,259.821,"1,598.437",77,0.000,0.000,0,0.000,0.000,0,260,"1,598",77
92,2018,1,61098,Longroad Energy,CA,Behind the Meter,Final,0.000,0.000,0,392.280,"2,356.160",151,0.000,0.000,0,0.000,0.000,0,392,"2,356",151
93,2018,1,61823,"Greenskies Renewable Energy, LLC",CA,,Final,0.000,0.000,0,112.100,"1,267.000",1,0.000,0.000,0,0.000,0.000,0,112,"1,267",1
94,2018,1,88888,Total EPM,CA,,Final,"1,405,851.423","7,359,865.584","13,618,213","1,337,397.366","9,257,635.736","1,739,799","421,565.404","3,787,787.528","153,800","4,787.718","59,717.859",12,"3,169,602","20,465,007","15,511,824"
95,2018,1,0,Adjustment 2018,CO,,Final,"39,161.311","301,642.423","428,590","27,581.703","265,310.431","71,634","26,314.812","321,588.496","9,055",0.000,0.000,0,"93,058","888,541","509,279"
96,2018,1,3989,City of Colorado Springs - (CO),CO,Municipal,Final,"16,598.517","127,637.000","194,448","8,132.131","92,838.000","33,866","15,787.583","152,425.000","1,595",0.000,0.000,0,"40,518","372,900","229,909"
97,2018,1,6604,City of Fort Collins - (CO),CO,Municipal,Final,"4,858.594","50,728.474","64,479","3,441.078","41,931.675","9,275","2,549.381","40,295.152",14,0.000,0.000,0,"10,849","132,955","73,768"
98,2018,1,9336,Intermountain Rural Elec Assn,CO,Cooperative,Final,"17,291.000","133,320.000","142,177","5,991.000","52,356.000","12,738",761.000,"8,847.000",60,0.000,0.000,0,"24,043","194,523","154,975"
99,2018,1,10066,K C Electric Association,CO,Cooperative,Final,486.000,"3,818.000","3,288",919.000,"7,823.000","2,465",9.000,74.000,712,0.000,0.000,0,"1,414","11,715","6,465"
100,2018,1,12866,Moon Lake Electric Assn Inc,CO,Cooperative,Final,124.783,"1,663.516","1,553",187.734,"2,519.576",645,"2,595.856","39,443.542",77,0.000,0.000,0,"2,908","43,627","2,275"
101,2018,1,15257,"Poudre Valley REA, Inc",CO,Cooperative,Final,"4,847.567","42,211.454","36,434","2,572.772","22,326.435","4,224","3,887.647","52,610.790",248,0.000,0.000,0,"11,308","117,149","40,906"
102,2018,1,15466,Public Service Co of Colorado,CO,Investor Owned,Final,"89,548.859","859,385.000","1,254,871","91,893.539","1,088,294.000","214,664","31,008.893","538,536.000",333,689.306,"7,992.000",1,"213,141","2,494,207","1,469,869"
103,2018,1,16603,"San Luis Valley R E C, Inc",CO,Cooperative,Final,"1,145.000","7,122.000","8,520",597.000,"4,345.000","1,406",422.000,522.000,"2,623",0.000,0.000,0,"2,164","11,989","12,549"
104,2018,1,19499,"United Power, Inc",CO,Cooperative,Final,"8,515.434","63,215.075","73,320","5,280.933","48,369.931","9,608","6,713.196","81,377.370",714,0.000,0.000,0,"20,510","192,962","83,642"
105,2018,1,27000,WAPA-- Western Area Power Administration,CO,Federal,Final,0.000,0.000,0,173.443,"5,881.634",8,8.327,229.026,2,0.000,0.000,0,182,"6,111",10
106,2018,1,27058,"High West Energy, Inc",CO,Cooperative,Final,87.000,670.000,642,36.000,291.000,19,"1,142.000","10,093.000",353,0.000,0.000,0,"1,265","11,054","1,014"
107,2018,1,56146,"Black Hills Colorado Electric, LLC",CO,Investor Owned,Final,"8,592.162","55,668.000","84,385","8,702.913","70,000.000","11,860","3,239.983","34,565.000",54,0.000,0.000,0,"20,535","160,233","96,299"
108,2018,1,57313,SolarCity Corporation,CO,Behind the Meter,Final,643.225,"4,563.730","12,637",118.960,"1,149.760","1,001",0.000,0.000,0,0.000,0.000,0,762,"5,713","13,638"
109,2018,1,59139,SunEdison LLC,CO,Behind the Meter,Final,0.000,0.000,0,10.170,147.850,3,0.000,0.000,0,0.000,0.000,0,10,148,3
110,2018,1,59579,Sunnova,CO,Behind the Meter,Final,1.520,8.823,32,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,2,9,32
111,2018,1,59580,"SunPower Capital, LLC",CO,Behind the Meter,Final,28.932,352.520,516,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,29,353,516
112,2018,1,59647,Sunrun Inc.,CO,Behind the Meter,Final,223.637,"1,063.159","2,630",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,224,"1,063","2,630"
113,2018,1,59738,"SunPower Capital Services, LLC",CO,Behind the Meter,Final,41.160,334.280,637,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,41,334,637
114,2018,1,59943,Spruce Finance,CO,Behind the Meter,Final,37.029,369.960,760,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,37,370,760
115,2018,1,60025,Greenbacker Renewable Energy Corporation,CO,Behind the Meter,Final,17.426,137.938,676,10.850,226.232,27,0.000,0.000,0,0.000,0.000,0,28,364,703
116,2018,1,60981,"TerraForm US Energy Services, LLC",CO,Behind the Meter,Final,0.000,0.000,0,3.865,79.969,13,0.000,0.000,0,0.000,0.000,0,4,80,13
117,2018,1,61098,Longroad Energy,CO,Behind the Meter,Final,0.000,0.000,0,23.180,328.390,16,0.000,0.000,0,0.000,0.000,0,23,328,16
118,2018,1,88888,Total EPM,CO,,Final,"192,249.156","1,653,911.352","2,310,595","155,676.271","1,704,218.883","373,472","94,439.678","1,280,606.376","15,840",689.306,"7,992.000",1,"443,054","4,646,729","2,699,908"
119,2018,1,0,Adjustment 2018,CT,,Final,"89,393.837","432,500.593","405,989","130,630.109","795,766.772","68,121","26,213.696","178,125.950","2,420","2,542.330","14,813.180",3,"248,780","1,421,206","476,533"
120,2018,1,4176,Connecticut Light & Power Co,CT,Investor Owned,Final,"154,668.710","805,916.246","843,571","35,231.694","181,421.958","65,829","4,609.613","18,897.230","1,720",0.000,0.000,0,"194,510","1,006,235","911,120"
121,2018,1,7716,Groton Dept of Utilities - (CT),CT,Municipal,Final,"1,884.288","12,678.266","12,032","1,389.637","10,099.755","1,616","1,839.327","19,752.249",15,0.000,0.000,0,"5,113","42,530","13,663"
122,2018,1,19497,United Illuminating Co,CT,Investor Owned,Final,"32,408.938","133,011.031","203,133","6,886.256","36,939.063","13,844",558.119,"3,166.370",237,0.000,0.000,0,"39,853","173,116","217,214"
123,2018,1,20038,Town of Wallingford - (CT),CT,Municipal,Final,"3,360.565","25,908.781","21,347","2,340.624","19,764.310","3,632","1,311.999","11,573.629",26,0.000,0.000,0,"7,013","57,247","25,005"
124,2018,1,57313,SolarCity Corporation,CT,Behind the Meter,Final,572.494,"3,610.580","8,236",65.150,638.743,845,0.000,0.000,0,0.000,0.000,0,638,"4,249","9,081"
125,2018,1,59086,"Constellation Solar Holding, LLC",CT,Behind the Meter,Final,0.000,0.000,0,2.740,22.850,1,.,.,.,0.000,0.000,0,3,23,1
126,2018,1,59139,SunEdison LLC,CT,Behind the Meter,Final,0.000,0.000,0,5.340,32.390,3,0.000,0.000,0,0.000,0.000,0,5,32,3
127,2018,1,59579,Sunnova,CT,Behind the Meter,Final,116.564,394.423,"1,189",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,117,394,"1,189"
128,2018,1,59580,"SunPower Capital, LLC",CT,Behind the Meter,Final,32.542,166.709,254,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,33,167,254
129,2018,1,59624,"Vivint Solar, Inc.",CT,Behind the Meter,Final,59.005,425.378,"1,526",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,59,425,"1,526"
130,2018,1,59647,Sunrun Inc.,CT,Behind the Meter,Final,436.102,"1,072.307","3,761",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,436,"1,072","3,761"
131,2018,1,59943,Spruce Finance,CT,Behind the Meter,Final,13.544,108.224,181,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,14,108,181
132,2018,1,60025,Greenbacker Renewable Energy Corporation,CT,Behind the Meter,Final,14.550,198.119,596,4.633,27.084,3,0.000,0.000,0,0.000,0.000,0,19,225,599
133,2018,1,60981,"TerraForm US Energy Services, LLC",CT,Behind the Meter,Final,0.000,0.000,0,5.764,52.444,7,0.000,0.000,0,0.000,0.000,0,6,52,7
134,2018,1,61098,Longroad Energy,CT,Behind the Meter,Final,0.000,0.000,0,6.000,54.600,7,0.000,0.000,0,0.000,0.000,0,6,55,7
135,2018,1,61823,"Greenskies Renewable Energy, LLC",CT,,Final,0.000,0.000,0,111.600,"1,153.500",5,0.000,0.000,0,0.000,0.000,0,112,"1,154",5
136,2018,1,88888,Total EPM,CT,,Final,"282,961.139","1,415,990.657","1,501,815","176,679.547","1,045,973.469","153,913","34,532.754","231,515.428","4,418","2,542.330","14,813.180",3,"496,716","2,708,293","1,660,149"
137,2018,1,0,Adjustment 2018,DC,,Final,"7,517.765","50,904.987","41,265","69,015.677","584,737.583","9,644","1,204.950","14,582.032",1,"2,124.170","21,197.928",3,"79,863","671,423","50,913"
138,2018,1,15270,Potomac Electric Power Co,DC,Investor Owned,Final,"24,301.500","207,795.140","229,156","14,064.324","113,186.804","16,575",0.000,0.000,0,0.000,0.000,0,"38,366","320,982","245,731"
139,2018,1,57313,SolarCity Corporation,DC,Behind the Meter,Final,14.430,111.112,504,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,14,111,504
140,2018,1,59086,"Constellation Solar Holding, LLC",DC,Behind the Meter,Final,0.000,0.000,0,2.290,25.340,1,0.000,0.000,0,0.000,0.000,0,2,25,1
